star_rating,review_body,sentiment,cleaned_text
4,Very neat,positive,neat
4,"These are good exercise/workout headphones. I use them for running and some floor training and plyometrics. They sound good, and pair very easily, and they haven't run out of batteries on my yet. I only charge them once a week. They feel a little haphazard, but they've yet to slip during pretty intense jumping and running, and I tend to get quite sweaty so I think they'd be fine for pretty much any workout you could throw at them. One thing, is that after about an hour my ears are starting to feel the pressure of them, and I want to take them off. I think they'd become quite uncomfortable to me after a couple hours, so probably not the best for office/commuting use, (caveat I have quite a large head)",positive,good exercise workout headphones use running floor training plyometrics sound good pair easily run batteries
3,"Good for college dorm. Sturdy, good safety rating, good protection, lots of outlets and  long cord.  Too big and bulky  for home.",neutral,good college dorm sturdy good safety rating good protection lots outlets   long cord   big bulky   home
5,Worked just fine so far.,positive,worked fine far
1,This speaker works great when plugged in but will not work wireless unplugged- battery must have been shot when sent to me. Very disappoin,negative,speaker works great plugged work wireless unplugged- battery shot sent disappoin
5,"Durable with care taken, and inexpensive.",positive,durable care taken inexpensive
2,Overall the design was OK but the Sound was uninspiring and boring. Would not purchase again.,negative,overall design ok sound uninspiring boring purchase
1,Didnt work!!,negative,nt work
5,Great,positive,great
5,We live in Germany. The hertz and voltage is different from the U.S.  My husbands clippers would make a loud noise. I got this for my husband to use and it works great. No more loud running noise.,positive,live germany hertz voltage different u.s   husbands clippers loud noise got husband use works great loud running noise
5,"I've used with the Summitlink® 7 inch Professional 400mcd LCD  Monitor for a decent FPV setup.  I did upgrade the antenna to the &#34;mushroom&#34; style for longer range.  Only flown at ranges of about 1/2 mile so far, but worked pretty darn good.  Transmitter is small enough to fit a quad or almost any but the smallest airplanes.  The link is solid.  Worked first time right out of the box just like it should.",positive,summitlink ® 7 inch professional 400mcd lcd   monitor decent fpv setup   upgrade antenna 34;mushroom&#34 style longer range   flown ranges abo
5,Just what I needed.,positive,needed
4,"I bought two for my household, we like them.  Chances are you will to.<br />PROS:<br />* It's an e-ink android tablet, which makes for a nice upgrade from an original Nook<br />* The lighting makes for an easy read in sub optimal lighting<br />* Physical buttons on either side (left/right) make for a familiar reading experience and one that doesn't get smudged by fingers<br />* Calibre knows just what to do to transfer files over<br />* Manufacturer support is decent<br />CONS:<br />* Being a tablet you might be prone to use it with more advanced applications, resulting in quicker battery drain<br />* The &#34;app store&#34; feels odd to me, but it's easy enough to put Amazon's app store on, because it's an Android tablet<br />* They put a custom build of FBReader in, but without changing identifying parts, so if you want to put an updated version in you'll be in for some adventure<br />OVERALL:<br />Like I said at the beginning; I bought two for my household and we like them.  They work for our needs, and they might for yours too.",positive,bought household like   chances to.<br />pros:<br > e ink android tablet makes nice upgrade original nook < br > lighting makes fo
5,It's good,positive,good
5,I messed up and ordered the wrong size but I'm not returning because I'll use it for another TV .,positive,messed ordered wrong size returning use tv
5,It works great,positive,works great
5,Great product for a great price,positive,great product great price
5,Great stuff!,positive,great stuff
5,Well built. Gets many channels. Light weight. Excellent value.,positive,built gets channels light weight excellent value
5,Works great.  No problems yet,positive,works great   problems
4,"Great seller arrived early, and worked perfect thank you",positive,great seller arrived early worked perfect thank
4,"Prompt delivery and is as advertised, except it is not a Bose product..but is an acceptable substitute.",positive,prompt delivery advertised bose product acceptable substitute
5,"Can't beat the price, not too hard to put up, and does the job!",positive,beat price hard job
4,"Works satisfactorily for my needs. Sometimes it fails to switch, but for the most part it works fine.",positive,works satisfactorily needs fails switch works fine
5,Love it. Listen to it while mowing lawn. It is awesome. :D,positive,love listen mowing lawn awesome d
5,Works great. Or at least exactly like the regular nano if that works for you. This makes a swim work out much less boring. :),positive,works great exactly like regular nano works makes swim work boring
5,I would buy this product again.,positive,buy product
4,Great good worth,positive,great good worth
4,Good product for the price. Kind of a pain to have to go to your phone settings and select it every time you want to use it.,positive,good product price kind pain phone settings select time want use
5,"Perfect! I got this for my parents who have an older TV that doesn't have HDMI, but they wanted to have Netflix and a BlueRay player. I got them a Wifi enabled Blueray player and hooked it up to the TV through this using component from the TV and HDMI out to the Blueray player. This works great! so based on other Amazon user reviews. I'm glad I did!!",positive,perfect got parents older tv hdmi wanted netflix blueray player got wifi enabled blueray player hooked t
3,This is a great product and doesn't feel cheap. It sounds clear and easily connects to devices. My only complaint is that I wish the battery life lasted longer.,neutral,great product feel cheap sounds clear easily connects devices complaint wish battery life lasted longer
1,"this product have bad resolution quality i dont recomended, shoud be other better then this one maybe little more spencive but dont spend ur money on this one.",negative,product bad resolution quality nt recomended shoud better maybe little spencive nt spend ur money
4,"Good sound, easy to use, excellent Bluetooth range, enjoy that I can charge my phone, ipod, and aux audio to connect a music device without Bluetooth. BIG BUT!!!! you cannot set the two alarms one for weekdays and another for weekends like it says in the product information. Anyway this is why I didn't give 5 stars. Updating the review, the radio feature died just barely one year after purchased, I don't think I will buy iHome products again.",positive,good sound easy use excellent bluetooth range enjoy charge phone ipod aux audio connect music device bluetooth big set alarms
1,This is the worst stuff i have ever bought from amazon.,negative,worst stuff bought amazon
5,works great,positive,works great
5,"It's the all-in-one solution for your bedside table, desk, travel bag, etc.  This thing rocks.  You can plug in your laptop, a few USB devices, and still have an open outlet for something else.  I do wish it was a bit smaller, but that's it.  I do like that there is a removable IEC cable so that when I put this in my travel bag I don't crush the cable strain relief just fitting it in to the pocket in my bag.",positive,solution bedside table desk travel bag etc   thing rocks   plug laptop usb devices open outlet  
3,Not a bad product but a little flimsy on the steel mounting bracket. This bracket also does not fit a Samsung 32&#34; UN32J5500AFXZA. I had to cut the brackets with a band saw so they wouldn't stick up above the TV. The price was cheap so its not a deal breaker for me.,neutral,bad product little flimsy steel mounting bracket bracket fit samsung 32&#34 un32j5500afxza cut brackets band saw stick u
1,"The first one of these I had worked well until the little prongs broke.  I ordered another one and it doesn't work at all!  I left a battery in it overnight, and it didn't charge it at all.  So I left it another night, and it still didn't charge at all.  A friend checked it with a multimeter, which said it doesn't work at all.  I can't find the receipt so I can't return it.  I bought a new battery, so when it needs recharging, I'll have to see if I can do it through my computer.",negative,worked little prongs broke   ordered work   left battery overnight charge   left
5,"I am very happy with this product.  The outer insulation seems to be very durable. The cable is stiff and rigid. I didn't have to make any tight turns but if one did, it could be tough. I didn't give much heed to feed line loss till I replaced a piece of rg58 with this cable on my vhf base radio. What a difference. A definite boost in signal strength.",positive,happy product   outer insulation durable cable stiff rigid tight turns tough
4,Great product and excellent value. This is my third set.,positive,great product excellent value set
4,It sounds pretty good considering how low the price is,positive,sounds pretty good considering low price
5,Good cables,positive,good cables
3,Works really wel . Sound is also good.,neutral,works wel sound good
5,works great,positive,works great
5,Awesome product and fit the TV perfectly. Highly recommend!!!,positive,awesome product fit tv perfectly highly recommend
1,i bought this lamp and it went out 112 days and with 150 day warannty i got no refund from this co.,negative,bought lamp went 112 days 150 day warannty got refund co.
5,Works great!,positive,works great
5,Great Product,positive,great product
5,I've had this product for years now. Use it every day. Still going strong. Wonderful fat sound with thick bass! Easy to synch.,positive,product years use day going strong wonderful fat sound thick bass easy synch
5,Beyond expectations.,positive,expectations
4,"Practical solution for a side access electrical outlet.  Disappointed that, even though it provides a screw hole, no screw was provided.  I had to buy a box of #6 x 32 screws at 2&#34; length to secure them to the plug.  This device will probably hold OK without the screw but since I was placing these behind hard to move heavy furniture I wanted the added security.  I like the fact that this device provides current access from both the top and bottom existing plugs.  If your outlet has half of the receptacle on a switch you would have to trace the circuitry in this device to figure out which plug services a particular outlet.  I didn't have that problem.",positive,practical solution access electrical outlet   disappointed provides screw hole screw provided   buy box 6 x 32 screws 2&#34 length secur
5,"The original pads lasted about a year. I used them about 180 times. There is no question when they need to be replaced. The black material flakes off, it tears and allows the green rubber foam comes out. The noise canceling function will not work. These pads fix all those problems, however they are a little more firm than originals. To remove originals, grab them and pull them straight off. They pop off and push new ones right on.",positive,original pads lasted year 180 times question need replaced black material flakes tears allows green rubber foam comes o
5,"works as it should, no problems so far!",positive,works problems far
5,"Great sound at a great price, works great on my smart phone.",positive,great sound great price works great smart phone
5,Excellent produce. I use the speakers outdoors in a severe environment. The sound is superior to other speakers I have tried.,positive,excellent produce use speakers outdoors severe environment sound superior speakers tried
2,"Edit: My initial review of the product(shown below) was a 5 star review. But there are big battery issues with this speaker. After about the 3rd or 4th full charge (in which I followed the instructions) the battery life began to take a huge dive. It can now be fully charged, sit for 2 days WITHOUT BEING USED and be completely dead when we try to use it. Will try to return if it's worth the shipping.   Very good shower speaker. I had a crappy waterproof radio i bought somewhere for $10 that sounded awful and this is a HUGE improvement. We splash it lots when in the shower and it's held up just fine. Big sounds from a little speaker, I'm impressed. i just turn on my phone's pandora or spotify before getting in the shower and it works great as you can skip songs from right on the speaker. Also took it on a canoe trip and it worked well and we didn't have to worry about it getting wet. The battery seems to last a long time and charging is a breeze.   My only small complaint is that it lacks a volume up/down button. I have to use my phone's volume control and set it to the right volume and them am stuck with that volume for my whole shower unless i get out.",negative,edit initial review product(shown 5 star review big battery issues speaker 3rd 4th charge followed instruction
1,"I hate this speaker.  It looks good, and the sound is OK when it will pair but that is less than half the time.  I bought it for a patio party in July and could never get it to pair continuously with my Mac laptop.  It seems to do better with my phone, but music is limited there.  After I bought it my son told me a couple of his friends have the same problem.  I have a $40 speaker I bought about a year ago that sounds as good and pairs every time.  This Bose speaker is not worth the money or the hassle.  I read several favorable reviews before buying the speaker.  Maybe I got a dud.  I even read the directions, which shouldn't be necessary for a simple bluetooth pairing.",negative,hate speaker   looks good sound ok pair half time   bought patio party july pair continuously
1,"I received  my stuff, but its not what I was expecting.<br />1- the speakers aren't loud and it did not come with a charger. It only played for like 20-30minutes and shutdown I still cannot get it to turn back on.",negative,received   stuff expecting.<br />1- speakers loud come charger played like 20 30minutes shutdown
5,"exactly as described, excellent price",positive,exactly described excellent price
5,"These Ausdom M04 Over-the-Ear Headphones have very good sound across the register with strong bass and crisp mid & trebles, and we found them comfortable to wear. Interestingly, these can be used using Bluetooth, NFC or wired... and we checked out both Bluetooth and Wired connections with excellent results. We would recommend these to others.<br /><br />Tested with our HTC Droid DNA and its Beats Audio application and also with a Kocaso tablet, the first thing that we did was plug in the headset's micro-USB cable (included) to our Samsung USB wall charger and it took about an hour to fully charge. When trying them on, right away we noticed how comfortable these cups are on the ears. The ear cushions are firm but soft and bridge felt comfortable on our heads.<br /><br />We played all sorts of music from rock to country and.... whatever it is called that 15 year old boys listen to these days. Our music was generated from sources including Amazon's MP3 Cloud, Pandora and our own audio files, and the results were very good. These Ausdom M04 also respond very well to the equalizer applications on our devices.<br /><br />While enjoying the music, we tested the call capabilities and were impressed; the mechanics worked seamlessly and the clarity of the built-in microphone was good. The voice heard through the ear speakers makes it sound as if you are standing next to the caller, while the caller (my daughter) could hear me just fine.<br /><br />The fit, feel & function of these Ausdom M04 headphones is good, and their look is quite nice too.<br /><br />The company's retail materials note that their headphones are covered by a \\""Limited 1 year warranty, 100% Customer Satisfaction Guarantee\\"", so if an issue occurs within that period I would return here to update the review and let you know what the issue was and how resolution was handled.<br /><br />If you are looking for headphones of this style, Bluetooth, NFC & wired playback capability, and price, for use similar to what I have described above, then my son and I would recommend giving these Ausdom M04 headphones a try based on our experience with them.<br /><br />Recommended<br /><br />Go for it.<br /><br />We received this item gratis from a seller several week ago without obligation, and decided to objectively test and review it. My statements in this Amazon listing review reflect that testing experience.I have described above, then my son and I would recommend giving these Ausdom M04 headphones a try based on our experience with them.<br /><br />Recommended<br /><br />Go for it.<br /><br />We received this item gratis from a seller several week ago without obligation, and decided to objectively test and review it. My statements in this Amazon listing review reflect that testing experience.",positive,ausdom m04 ear headphones good sound register strong bass crisp mid trebles found comfortable wear interestingly usin
5,"When I saw these, I thought to myself - what am I going to do with cardboard &#34;glasses&#34;? Well, the answer is - be amazed. There are some really cool apps to use with these and it's so easy to connect my Galaxy s5 and use it with these. The only problem I ran into is that I have a thick case on my phone, so it was a little difficult to get the phone to sit nicely in the glasses but it wasn't a huge inconvenience I just had to be careful with it. The regular google cardboard app gets a little boring after the first few uses but there are games and even roller coaster apps you can download to use with these. It even lets you take your own videos and watch them in virtual reality style. I laughed when I showed my husband because when we were kids, virtual realty meant standing on a platform with a big pair of goggles and lots of wires - now all it takes is cardboard and a phone. I had so much fun with these - I think everyone should try these out. I received a discount for my honest and unbiased review.",positive,saw thought going cardboard 34;glasses&#34 answer amazed cool apps use easy c
4,I am very pleased with this for the price. It sounds good with decent volume and cd's play well and load easily. It has a radio but only nearby local radio stations can be picked up. I haven't tried the Bluetooth option so I cannot comment on that.<br />It was simple to install under the kitchen cabinet with a minimal amount of tools needed. I replaced an old under cabinet CD player radio combo and this one is so much nicer and I paid much less for it.,positive,pleased price sounds good decent volume cd play load easily radio nearby local radio stations picked tried t
5,Does what a quality cable should do !,positive,quality cable
5,Great Price!,positive,great price
1,"I sent this speaker back so I cannot comment on battery life or durability of product. Even though the price was good, the sound was very flat, and my phone speaker by itself sounded better. It connected easily to my phone and computer via bluetooth. I went back and read the reviews of folks who thought this speaker was fantastic, and I can only assume I got a &#34;bad&#34; one or the company has changed the product. I ended up getting a bluetooth Armor Mine speaker which has amazing sound AND is water resistant.",negative,sent speaker comment battery life durability product price good sound flat phone speaker sounded better connec
1,"This is a waste of your money. It's cool that you can play music from your phone and the sound isn't bad, it's clean, but it's not at all impressive (and I have the SUB in addition to the Playbar and two of the Sonos1 speakers).  You can get a much better home theater system for a lot less money.  Plus, with Sonos, when it randomly stops working (&#34;player cannot be found&#34;), you get to spend an hour on hold with their call center (that has VERY limited business hours, only 6 days a week during the middle of the day) before you give up, and you can try to navigate through the myriad of self-service &#34;help&#34; on their site, send an email to them and wait more than a day for a response.  Maybe the system will come back up for you, if you're lucky they'll help you through an endless email volley, and it'll work uninterrupted that is until the next time your &#34;player cannot be found.&#34;",negative,waste money cool play music phone sound bad clean impressive sub addition playbar
4,It's so cute !!!,positive,cute
1,"Cheaply made and intermittent sound. Maybe I got the bad one out off the bunch, but I'm extremely disappointed. They are loud but keep going in and out. One of the ear buds back piece was missing. Just poor quality control",negative,cheaply intermittent sound maybe got bad bunch extremely disappointed loud going ear buds piece missing jus
5,Easy to install,positive,easy install
1,"This turn table is crap. My 33s sounded decent, but my 45s sound like they were being played over a bad radio station. It doesn't have a lever for the arm so you are forced to scratch your vinyl if you want to stop a record early. The records skip like crazy and songs are no longer coherent. It is not worth your money, don't buy. Never even got to the USB capabilities.",negative,turn table crap 33s sounded decent 45s sound like played bad radio station lever arm forced scratch vinyl yo
5,No problems. Love it!,positive,problems love
5,"Let me start with build quality, the materials used is quite impressive. It is very sturdy yet very light. The ear cup cushion are very comfortable to wear for a long use. On the other hand, the sound quality is phenomenally impressive especially when active noise cancelling is on. I am really delighted with my purchase.",positive,let start build quality materials impressive sturdy light ear cup cushion comfortable wear long use hand sound
5,Very pleased with the product and service.  It showed up very quickly and has been great. Big things can come in small packages.,positive,pleased product service   showed quickly great big things come small packages
5,"Awesome, really good sound quality and volume without too much sound pollution",positive,awesome good sound quality volume sound pollution
5,"Bluetooth speakers can be iffy and/or usually come with trade-offs. This speaker, however, is basically perfect. You're effectively getting Audi features for a Volkswagen price tag. LOUD, bass that doesn't play, and clear sound. Looks cute also.",positive,bluetooth speakers iffy and/or usually come trade offs speaker basically perfect effectively getting audi features volkswagen price tag loud bass
5,"Fit right in, and am watching television again...for a small price!",positive,fit right watching television small price
5,"Love these!  Great fit, sound and price!",positive,love   great fit sound price
5,"Now my living area is finished  no more tangle cables.  Soft, malleable, 3M foam sticky backs these are easy to use and a must for cleaning up the tangled wires around (in my case)  computer, modem and printer.  I RECEIVED THIS ITEM AT A REDUCED RATE IN EXCHANGE FOR MY HONEST REVIEW.",positive,living area finished   tangle cables   soft malleable 3 m foam sticky backs easy use cleaning tangled wires case   computer modem
5,A great all around earphone. Good price for the quality.,positive,great earphone good price quality
3,Older version was better.I ordered two. One was fine. The second needed a new battery. My son needed for first day of school so I kept it.,neutral,older version better.i ordered fine second needed new battery son needed day school kept
1,Didn't pick up any channels as promised.,negative,pick channels promised
5,"These batteries are absolutely great, and ideal for making battery packs.",positive,batteries absolutely great ideal making battery packs
1,Lasted only 4 months would not buy from this company again,negative,lasted 4 months buy company
1,"The Remo-con itself works properly, but it is not the one I wanted and ordered. I ordered Model #AKB72915206, but received #AKB72915204. This may be an older model than that I ordered, because this one doesn't have some buttons I used often.<br />So now I use it with very uncomfortable mood.  But I don't want to send it back and wait the new one. For I don't like not to watch<br />TV for many days.",negative,remo con works properly wanted ordered ordered model akb72915206 received akb72915204 older model ordered
2,I bought this in the hopes of connecting my pc to the tv. Unfortunately my computer didnt have this DVI slot so I had to send the product back. Now my review reflects that because I bought the wrong cable so it was my fault. I will say however that they did ship it in a timely manner and everything appeared fine with the cord. Now i have to look for a different cable for my PC.,negative,bought hopes connecting pc tv unfortunately computer nt dvi slot send product review reflects bought wrong c
1,"I seemed to work just fine for about 20hrs. Then wouldn't supply power to my computer equipment. I went through the booklet. Started from the very beginning. I ran a couple of self-tests. It showed it should be working just fine. I plugged it back in. Plugged my computer equipment back in. I ran another self-test. The test showed good results, but still no power to my computer. Don't waste your time on this &#34;good deal&#34;!",negative,work fine 20hrs supply power computer equipment went booklet started beginning ran couple self tests showed
5,"Affordable speakers with great results! We use these with our 1991 Sony stereo set and everything sounds great through them. We've even hooked up our Laserdisc and Blu-ray players to the amp for some great sound!! LPs, analog/digital cassettes, CDs, iPod, AM/FM all sound fantastic. Bass is above average I'd say for this size and price, tweeters good too. Vocals sound clear and instruments sound alive. I haven't noticed any distortion or off sounds. Even in an apartment, these are great. They can produce a lot of sound without sending it through the floor to your neighbor under you. We have a very large living room in our place, but even in the bedroom or small living room these would be fantastic. If you can, I would get these before the bookshelf speakers.",positive,affordable speakers great results use 1991 sony stereo set sounds great hooked laserdisc blu ray players amp
5,works great in my RV easy to mount on cabinet!!,positive,works great rv easy mount cabinet
5,"At this point the Brainwavz earpads are well known and well regarded in terms of comfort, quality, and sound. There are many reviews for the pleather and velour versions of these pads, which you can find here:<br /><br />[[ASIN:B00MFDX4YO Brainwavz HM5 Velor Memory Foam Replacements Earpads - Suitable For Many Other Branded Large Over The Ear Headphones - AKG, HifiMan, ATH, Philips, Fostex]]<br /><br />[[ASIN:B00MFDT894 Brainwavz Replacement Memory Foam Earpads - Suitable For Many Other Large Over The Ear Headphones - AKG, HifiMan, ATH, Philips, Fostex]]<br /><br />There was also a post about those earpads on Cnet's Audiophiliac blog. I was looking into these to use with a newly purchased pair of Audio Technica ATH-M50x, which you can see here:<br /><br />[[ASIN:B00HVLUR86 Audio-Technica ATH-M50x Professional Studio Monitor Headphones]]<br /><br />Basically, I was having an extremely hard time deciding between the velour and pleather options. On the one hand, pleather makes my ears sweat a lot, which is extremely uncomfortable. On the other hand, velour provides less noise isolation, and I intended to use these headphones almost exclusively on the go. Velour also reduced bass response compared to pleather. For me this was a concern, but a secondary one to comfort. I went back and fourth for a while, but eventually found this hybrid pair on Brainwavz website. They have velour where they touch your ears, and pleather on the inside (perforated) and outside. These are very similar to the earpads that Hifiman is using on their newer high end models, and they are called focus pads. In any case, these seemed like they would offer the best of both worlds for my needs, and were only slightly more expensive than the non-hybrid versions, so I bought a pair.<br /><br />I have to say, I am extremely happy I made this choice. As many others have noted, the difference in comfort is day and night. I found the stock pads on the ATH-M50x to be okay, but not very comfortable. They didn't fit completely around my ears, and they were relatively shallow, putting pressure on my head. The small pleather pads also made my ears sweat quickly. After only one day with the stock pads my Brainwavz already arrived so I switched immediately. The process of swapping the pads is not super easy, but pretty much anyone can do it with a little fiddling. With the Brainwavz on, my Audio Technica's easily became the most comfortable headphone's I own. Before the pads, they were only slightly (though still noticeably) more comfortable than my Monoprice headphones which cost less than $20.<br /><br />The Brainwavz earpads are nice and thick, and extremely soft. They really do feel like pillows on your head. The velour feels great against my skin, and the noise isolation is completely adequate for my needs. You still hear everything around you, but it's muted enough to enjoy the music. As for sound, I think most people make a slightly bigger deal about it than they need too. Yes, the sound is slightly different, but the difference is not huge. It is definitely not better or worse though, so whether you like it more or less is really up to your personal preference. As others have noted, the bass is slightly less strong. There is more room between your ears and the drivers with this pad, and the perforated pleather probably also softens it a bit. The drop in bass is only slight, and it isn't any less accurate. For me the Brainwavz pads also made the mids a little more smooth. Ultimately, YMMV. But the most important thing I can say about the sound is that you shouldn't worry too much about it (for what it's worth I don't know if the same can be said about the velour pads, I haven't tried them myself). Get these if you want to exponentially increase the comfort of your headphones.<br /><br />A short anecdote. I recently took these on a flight with me. The flight was delayed for 5 hours so we got on the plane tired from sitting in an airport. Then we found out the air conditioning on the plane wasn't working so it was extremely hot. The plane took off and I put on my Audio Technica's. (For those curious I was listening through a Fiio E17 connected to my iPhone digitally using Apple's Camera Connection Kit). After a few minutes, I was completely into my music. The pads blocked out just enough of the engine noise to let me hear my songs, and they felt great on my head. I listened for at least 2 hours straight, and despite the plane being extremely hot, and listening to my music relatively loud (to compensate for the engine noise), I was still feeling comfortable at the end. The velour kept my ears from sweating and the headphones didn't even feel stuffy! The sound quality was great and honestly, after that flight I knew 100% that I had made the right decision.<br /><br />Conclusion (TLDR):<br />These are extremely satisfying earpads that will transform the comfort level of any headphone you put them on. Additionally, if you like the feel of velour but prefer the sound/isolation of pleather, these hybrid pads are literally perfect. It's totally worth the $25 I paid and I will recommend these to all my friends.itioning on the plane wasn't working so it was extremely hot. The plane took off and I put on my Audio Technica's. (For those curious I was listening through a Fiio E17 connected to my iPhone digitally using Apple's Camera Connection Kit). After a few minutes, I was completely into my music. The pads blocked out just enough of the engine noise to let me hear my songs, and they felt great on my head. I listened for at least 2 hours straight, and despite the plane being extremely hot, and listening to my music relatively loud (to compensate for the engine noise), I was still feeling comfortable at the end. The velour kept my ears from sweating and the headphones didn't even feel stuffy! The sound quality was great and honestly, after that flight I knew 100% that I had made the right decision.<br /><br />Conclusion (TLDR):<br />These are extremely satisfying earpads that will transform the comfort level of any headphone you put them on. Additionally, if you like the feel of velour but prefer the sound/isolation of pleather, these hybrid pads are literally perfect. It's totally worth the $25 I paid and I will recommend these to all my friends.",positive,point brainwavz earpads known regarded terms comfort quality sound reviews pleather velour versions pads f
5,They work.,positive,work
5,brandy new,positive,brandy new
5,Came ahead of time works great,positive,came ahead time works great
1,Instead of getting MC4 solar connectors and I get a  8 pack of AA batteries,negative,instead getting mc4 solar connectors   8 pack aa batteries
5,The best,positive,best
5,love it,positive,love
3,Constantly had to move it around and reset channels. Could not get it to pick up all local channels from one position. No matter where I moved it one or the other would drop out and have bad reception. I really tried to get this to work but couldn't.,neutral,constantly reset channels pick local channels position matter moved drop bad reception
5,Fills the bill for organizing our huge DVD collection.  Will be buying more.  My only wish is for D-ring removable pages which would simplify organizing.,positive,fills bill organizing huge dvd collection   buying   wish d ring removable pages simplify organizing
4,I'm an audio engineer from way back and fidelity is important to me. This receiver sounds much better than any Bluetooth wireless receiver I've used. The range is also much better. Very happy user.,positive,audio engineer way fidelity important receiver sounds better bluetooth wireless receiver range better happy user
5,Worked great. Took it on a camping trip and played Pandora from my phone on it. Works great in the office too.,positive,worked great took camping trip played pandora phone works great office
1,"I bought this to use in Kenya, and it didn't work from the very first time I tried it. Unfortunately the time between purchase and use makes me ineligible for a refund. In addition to the frustration of now being able to return it, because it didn't work at all I was unable to charge the medical equipment that we brought. Very disappointing purchase.",negative,bought use kenya work time tried unfortunately time purchase use makes ineligible refund addition frustration
3,While listening to PAndora on my Iphone the speaker tend to shut off the music when i speak. But other than that its good,neutral,listening pandora iphone speaker tend shut music speak good
5,Great! I'm glad I found these to order.,positive,great glad found order
5,Perfect,positive,perfect
1,"I am 0 for 5 on this having any effect at all, blurays or DVDs.  Scratches are so small and minor you can barely see them but this does nothing.",negative,0 5 having effect blurays dvds   scratches small minor barely
3,Will this work for my phone?  I have a movie app on my phone (not Netflix) and I want to watch them on my TV rather than my phone.  I want to know if it'll work on my device before I purchase this.,neutral,work phone   movie app phone netflix want watch tv phone   want know work device purchase
5,Best speaker I've ever owned!!! Water proof and tougher than nails with a sound quality better than my beats!!,positive,best speaker owned water proof tougher nails sound quality better beats
5,"Very good product, easy to install",positive,good product easy install
2,"no , not a good buy, never work as expected (sorry)",negative,good buy work expected sorry
1,This item was previously used and was in a box which had been previously opened. The power and video cables were just thrown in.  I had to return it and that also became a hassle as I had to explain before I was given an RMA number. I was,negative,item previously box previously opened power video cables thrown   return hassle explain b
4,It will charge phone very slow.. But it will do the trick. Compare to price it's good..,positive,charge phone slow trick compare price good
5,It did just what we thought it would do we like it very well. Thanks,positive,thought like thanks
4,These are a great pair of headphones. I have a small head so the ear covers work great for me. The sound quality seems good so far and they are very comfortable. The only thing I don't like about these is aesthetic and it is the wire from the earpiece up to the over head part - it sticks out and is a little awkward.,positive,great pair headphones small head ear covers work great sound quality good far comfortable thing like thes
1,Both cords are very poor quality and the red doesn't even pause or skip when you press the button. Terrible buy!,negative,cords poor quality red pause skip press button terrible buy
5,"This X5 Gen-II was a gift for my wife.  As soon as she lets me use it I'll update this and let you know how it compares to my X5 Gen-I sound wise.  All she's allowed me to do is load a few thousand Flac and Wav files on it so far.  Short of that it's not left her hands or ears for two solid weeks.  I'd say that's a good sign.  What I can say about the units sound is that it replaced an I Pod Classic that I bought her 10 yrs ago. ( I was sick and tired of having the same music stored in multiple formats (multiple terabytes) on the computer, and always hated how hard Apple made it on you if you just wanted to rip and transfer your own files and not have buy on I Tunes.)  She could tell the sound quality improvement right off the bat.  Even when using on crappy docking unit at work.  So did her coworkers.  As for the build, it's beautiful, like all the other Fiio products I own.  It's smaller and lighter than the Gen I, you can actually carry in jeans pocket. The GUI is all new, but like the sound, I'll have to update after she lets me actually use it.  This is the first Fiio DAP in our house that I didn't have to upgrade firmware  straight out of the box and the first that supported EXFAT well enough that I didn't have to remove partition from Micro SD (if larger than 32 gig) in order to format card in the unit  Itself.  So, it's more user friendly than past models. (I never had problems with older models and I'm no techie but some people did).  Will update more specifically after I get to actually use in depth.",positive,x5 gen ii gift wife   soon lets use update let know compares x5 gen sound wise   allowed load thousand fl
5,"Sound great, quality is good, perfect size, easy bluetooth connection. Like it a lot. Higly recomended",positive,sound great quality good perfect size easy bluetooth connection like lot higly recomended
5,Works as expected,positive,works expected
5,Good thank you,positive,good thank
1,Poor quality. DONT GET,negative,poor quality nt
5,I bought two of these adapters for my chargers and they work great at a good price.,positive,bought adapters chargers work great good price
1,It Doesn't work. Shouldn't be selling this.,negative,work selling
3,Bought it to use when satellite dish lost signal. Works ok but  still get buffering in bad weather but that is to be expected. Otherwise ok.<br />Not permantly mounted anywhere.,neutral,bought use satellite dish lost signal works ok   buffering bad weather expected ok.<br />not permantly mounted
